date_Hr,value_Hr,startDate_energy,endDate_energy,totalTime_energy,value_energy,id_
2020-03-30 16:12:35,64.0,2020-03-30 16:14:57,2020-03-30 16:15:59,62.0,0.34600000000000003,58
2020-03-30 16:16:40,64.0,2020-03-30 16:15:59,2020-03-30 16:17:01,62.0,0.26,59
2020-03-30 16:16:40,64.0,2020-03-30 16:17:11,2020-03-30 16:18:13,62.0,0.29600000000000004,60
2020-03-30 16:16:40,64.0,2020-03-30 16:18:13,2020-03-30 16:19:15,62.0,0.22899999999999998,61
2020-03-30 16:20:59,64.0,2020-03-30 16:21:08,2020-03-30 16:22:10,62.0,0.196,62
2020-03-30 16:20:59,64.0,2020-03-30 16:22:31,2020-03-30 16:23:33,62.0,0.046,63
2020-03-30 16:20:59,64.0,2020-03-30 16:24:03,2020-03-30 16:25:05,62.0,0.36,64
2020-03-30 16:20:59,64.0,2020-03-30 16:25:05,2020-03-30 16:26:07,62.0,0.316,65
2020-03-30 16:27:04,65.0,2020-03-30 16:26:48,2020-03-30 16:27:50,62.0,0.38299999999999995,66
2020-03-30 16:27:04,65.0,2020-03-30 16:29:54,2020-03-30 16:30:56,62.0,0.605,67
2020-03-30 16:32:52,59.0,2020-03-30 16:32:18,2020-03-30 16:33:20,62.0,0.322,68
2020-03-30 16:32:52,59.0,2020-03-30 16:33:41,2020-03-30 16:34:43,62.0,0.354,69
2020-03-30 16:32:52,59.0,2020-03-30 16:34:43,2020-03-30 16:35:45,62.0,0.348,70
2020-03-30 16:36:24,50.0,2020-03-30 16:35:55,2020-03-30 16:36:57,62.0,0.307,71
2020-03-30 16:36:24,50.0,2020-03-30 16:36:57,2020-03-30 16:37:59,62.0,0.242,72
2020-03-30 16:36:24,50.0,2020-03-30 16:40:54,2020-03-30 16:41:56,62.0,0.215,73
2020-03-30 16:42:27,60.0,2020-03-30 16:43:39,2020-03-30 16:44:41,62.0,0.517,74
2020-03-30 16:46:36,63.0,2020-03-30 16:48:17,2020-03-30 16:49:19,62.0,0.318,75
2020-03-30 16:46:36,63.0,2020-03-30 16:49:19,2020-03-30 16:50:21,62.0,0.364,76
2020-03-30 16:46:36,357.0,2020-03-30 16:50:21,2020-03-30 16:51:23,62.0,0.363,77
2020-03-30 16:46:36,63.0,2020-03-30 16:51:23,2020-03-30 16:52:25,62.0,0.317,78
2020-03-30 16:53:56,57.0,2020-03-30 16:54:28,2020-03-30 16:55:30,62.0,0.349,79
2020-03-30 16:56:04,56.0,2020-03-30 16:55:30,2020-03-30 16:56:32,62.0,0.10800000000000001,80
2020-03-30 16:56:04,56.0,2020-03-30 16:57:13,2020-03-30 16:58:15,62.0,0.6,81
2020-03-30 16:56:04,56.0,2020-03-30 16:58:46,2020-03-30 16:59:48,62.0,0.198,82
2020-03-30 16:56:04,56.0,2020-03-30 16:59:48,2020-03-30 17:00:50,62.0,0.353,83
2020-03-30 17:01:02,55.0,2020-03-30 17:01:21,2020-03-30 17:02:23,62.0,0.36200000000000004,84
2020-03-30 17:01:02,55.0,2020-03-30 17:03:45,2020-03-30 17:04:47,62.0,0.35200000000000004,85
2020-03-30 17:01:02,55.0,2020-03-30 17:04:47,2020-03-30 17:05:49,62.0,0.36,86
2020-03-30 17:01:02,55.0,2020-03-30 17:05:49,2020-03-30 17:06:51,62.0,0.263,87
2020-03-30 17:11:18,56.0,2020-03-30 17:11:29,2020-03-30 17:12:31,62.0,0.325,88
2020-03-30 17:11:18,56.0,2020-03-30 17:13:43,2020-03-30 17:14:45,62.0,0.316,89
2020-03-30 17:15:43,54.0,2020-03-30 17:15:37,2020-03-30 17:16:39,62.0,0.319,90
2020-03-30 17:15:43,54.0,2020-03-30 17:16:39,2020-03-30 17:17:41,62.0,0.203,91
2020-03-30 17:15:43,54.0,2020-03-30 17:21:27,2020-03-30 17:22:29,62.0,0.436,92
2020-03-30 17:24:04,53.0,2020-03-30 17:24:23,2020-03-30 17:25:25,62.0,0.34600000000000003,93
2020-03-30 17:27:11,55.0,2020-03-30 17:30:13,2020-03-30 17:31:15,62.0,0.213,94
2020-03-30 17:31:39,53.0,2020-03-30 17:32:17,2020-03-30 17:33:19,62.0,0.289,95
2020-03-30 17:31:39,53.0,2020-03-30 17:33:19,2020-03-30 17:34:21,62.0,0.22399999999999998,96
2020-03-30 17:31:39,53.0,2020-03-30 17:34:21,2020-03-30 17:35:23,62.0,0.395,97
2020-03-30 17:37:45,52.0,2020-03-30 17:38:08,2020-03-30 17:39:10,62.0,0.154,98
2020-03-30 17:37:45,52.0,2020-03-30 17:39:10,2020-03-30 17:40:12,62.0,0.315,99
2020-03-30 17:41:36,54.0,2020-03-30 17:41:24,2020-03-30 17:42:26,62.0,0.15,100
2020-03-30 17:44:58,50.0,2020-03-30 17:45:11,2020-03-30 17:46:13,62.0,0.21,101
2020-03-30 17:44:58,50.0,2020-03-30 17:47:14,2020-03-30 17:48:16,62.0,0.36,102
2020-03-30 17:44:58,50.0,2020-03-30 17:48:37,2020-03-30 17:49:39,62.0,0.156,103
2020-03-30 17:44:58,50.0,2020-03-30 17:51:12,2020-03-30 17:52:14,62.0,0.499,104
2020-03-30 17:53:28,54.0,2020-03-30 17:54:48,2020-03-30 17:55:50,62.0,0.34600000000000003,105
2020-03-30 18:01:00,51.0,2020-03-30 18:02:22,2020-03-30 18:03:24,62.0,0.402,106
2020-03-30 18:01:00,51.0,2020-03-30 18:04:36,2020-03-30 18:05:38,62.0,0.332,107
2020-03-30 18:01:00,51.0,2020-03-30 18:06:19,2020-03-30 18:07:21,62.0,0.478,108
2020-03-30 18:08:18,50.0,2020-03-30 18:09:35,2020-03-30 18:10:37,62.0,0.374,109
2020-03-30 18:10:42,54.0,2020-03-30 18:10:37,2020-03-30 18:11:39,62.0,0.589,110
2020-03-30 18:16:31,63.0,2020-03-30 18:16:37,2020-03-30 18:17:39,62.0,0.469,111
2020-03-30 18:16:31,63.0,2020-03-30 18:17:39,2020-03-30 18:18:41,62.0,0.993,112
2020-03-30 18:16:31,63.0,2020-03-30 18:19:22,2020-03-30 18:20:24,62.0,0.366,113
2020-03-30 18:16:31,63.0,2020-03-30 18:20:24,2020-03-30 18:21:26,62.0,0.307,114
2020-03-30 18:23:01,51.0,2020-03-30 18:23:09,2020-03-30 18:24:11,62.0,0.308,115
2020-03-30 18:26:53,50.0,2020-03-30 18:28:18,2020-03-30 18:29:20,62.0,0.235,116
2020-03-30 18:35:14,49.0,2020-03-30 18:34:39,2020-03-30 18:35:41,62.0,0.308,117
2020-03-30 18:35:14,49.0,2020-03-30 18:35:41,2020-03-30 18:36:43,62.0,0.303,118
2020-03-30 18:35:14,49.0,2020-03-30 18:37:35,2020-03-30 18:38:37,62.0,0.309,119
2020-03-30 18:40:13,51.0,2020-03-30 18:42:13,2020-03-30 18:43:15,62.0,0.369,120
2020-03-30 18:40:13,51.0,2020-03-30 18:43:56,2020-03-30 18:44:58,62.0,0.23399999999999999,121
2020-03-30 18:45:57,51.0,2020-03-30 18:46:30,2020-03-30 18:47:32,62.0,0.171,122
2020-03-30 18:51:37,47.0,2020-03-30 18:50:48,2020-03-30 18:51:50,62.0,0.292,123
2020-03-30 18:51:37,47.0,2020-03-30 18:52:52,2020-03-30 18:53:54,62.0,0.36200000000000004,124
2020-03-30 18:51:37,47.0,2020-03-30 18:54:55,2020-03-30 18:55:57,62.0,0.855,125
2020-03-30 18:57:47,75.0,2020-03-30 18:57:20,2020-03-30 18:58:22,62.0,0.6659999999999999,126
2020-03-30 18:57:47,75.0,2020-03-30 18:59:23,2020-03-30 19:00:25,62.0,0.8029999999999999,127
2020-03-30 18:57:47,75.0,2020-03-30 19:00:25,2020-03-30 19:01:27,62.0,1.226,128
2020-03-30 18:57:47,75.0,2020-03-30 19:02:39,2020-03-30 19:03:41,62.0,0.509,129
2020-03-30 18:57:47,75.0,2020-03-30 19:05:55,2020-03-30 19:06:57,62.0,0.7490000000000001,130
